cursor timestamp xpos ypos event xpath attrs extras

0 1555956074878 0 0 scroll / {} {}
0 1555956075226 0 0 load / {} {}
0 1555957757021 961 794 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957757081 957 801 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957757141 952 806 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957757201 947 827 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957757261 974 866 mousemove /html/body/div[2]/pre[8] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957757321 1042 942 mousemove /html/body/div[2]/pre[8] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957757382 1077 980 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957757441 1094 994 mousemove /html/body/div[2]/div[2]/div/div[1] {"DIV":{"class":"copy-right"}} {}
0 1555957757501 1110 1008 mousemove /html/body/div[2]/div[2]/div/div[1] {"DIV":{"class":"copy-right"}} {}
0 1555957757561 1120 1033 mousemove /html/body/div[2]/div[2]/div/div[1]/p {"P":{}} {}
0 1555957757621 1114 1076 mousemove /html/body/div[2]/div[2]/div/div[3] {"DIV":{"class":"clearfix"}} {}
0 1555957757681 1109 1105 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957758559 997 1110 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957758620 945 1098 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957758680 910 1089 mousemove /html/body/div[2]/div[2]/div/div[3] {"DIV":{"class":"clearfix"}} {}
0 1555957758740 869 1088 mousemove /html/body/div[2]/div[2]/div/div[3] {"DIV":{"class":"clearfix"}} {}
0 1555957758800 818 1093 mousemove /html/body/div[2]/div[2]/div/div[3] {"DIV":{"class":"clearfix"}} {}
0 1555957758860 793 1102 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957758911 772 1110 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957763544 625 1110 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957763609 751 1105 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957763668 849 1105 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957763728 881 1105 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957763807 887 1102 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957763867 915 1104 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957763919 936 1110 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957769384 1022 1099 mousemove /html/body/div[2]/div[2] {"DIV":{"class":"copy-section"}} {}
0 1555957769450 973 1073 mousemove /html/body/div[2]/div[2]/div/div[3] {"DIV":{"class":"clearfix"}} {}
0 1555957769511 957 1053 mousemove /html/body/div[2]/div[2]/div/div[1]/p/a {"A":{"href":"#"}} {}
0 1555957769570 919 996 mousemove /html/body/div[2]/div[2]/div/div[1] {"DIV":{"class":"copy-right"}} {}
0 1555957769630 880 970 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555957769690 840 953 mousemove /html/body/div[2]/pre[8] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957769750 817 938 mousemove /html/body/div[2]/pre[8] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957769810 795 912 mousemove /html/body/div[2]/pre[8] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957769870 781 888 mousemove /html/body/div[2]/pre[8] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957769930 776 873 mousemove /html/body/div[2]/pre[8] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957769991 769 863 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555957770050 761 851 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957770110 746 834 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555957770170 736 813 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
